grid,mode,N,ticks,threads,reps,time_ms,std_time_ms,avg_flow,avg_stopped,speedup,efficiency
grids/huge.txt,PARALLEL,2000,500,10,5,49.6,0.5477225575051661,500.61199999999997,1499.388,0.46774193548387094,0.04677419354838709
grids/huge.txt,PARALLEL,2000,500,16,5,62.6,1.51657508881031,500.61199999999997,1499.388,0.3706070287539936,0.0231629392971246
grids/huge.txt,SEQUENTIAL,2500,500,1,5,27.2,0.4472135954999579,548.808,1951.1919999999998,1.0,1.0
grids/huge.txt,PARALLEL,2500,500,1,5,38.6,0.5477225575051661,548.808,1951.1919999999998,0.7046632124352331,0.7046632124352331
grids/huge.txt,PARALLEL,2500,500,2,5,32.0,0.0,548.808,1951.1919999999998,0.85,0.425
grids/huge.txt,PARALLEL,2500,500,4,5,41.2,6.97853852894716,548.808,1951.1919999999998,0.6601941747572815,0.16504854368932037
grids/huge.txt,PARALLEL,2500,500,8,5,46.8,1.0954451150103321,548.808,1951.1919999999998,0.5811965811965812,0.07264957264957266
grids/huge.txt,PARALLEL,2500,500,10,5,51.6,0.5477225575051661,548.808,1951.1919999999998,0.5271317829457364,0.052713178294573636
grids/huge.txt,PARALLEL,2500,500,16,5,65.0,1.224744871391589,548.808,1951.1919999999998,0.41846153846153844,0.026153846153846153
grids/huge.txt,SEQUENTIAL,3000,500,1,5,28.6,0.5477225575051661,457.948,2542.052,1.0,1.0
grids/huge.txt,PARALLEL,3000,500,1,5,40.0,0.0,457.948,2542.052,0.7150000000000001,0.7150000000000001
grids/huge.txt,PARALLEL,3000,500,2,5,32.2,0.4472135954999579,457.948,2542.052,0.8881987577639752,0.4440993788819876
grids/huge.txt,PARALLEL,3000,500,4,5,34.2,1.0954451150103321,457.948,2542.052,0.8362573099415205,0.20906432748538012
grids/huge.txt,PARALLEL,3000,500,8,5,48.0,0.0,457.948,2542.052,0.5958333333333333,0.07447916666666667
grids/huge.txt,PARALLEL,3000,500,10,5,53.2,0.4472135954999579,457.948,2542.052,0.5375939849624061,0.053759398496240604
grids/huge.txt,PARALLEL,3000,500,16,5,68.2,1.6431676725154982,457.948,2542.052,0.41935483870967744,0.02620967741935484
grids/huge.txt,SEQUENTIAL,3500,500,1,5,27.8,0.4472135954999579,313.236,3186.764,1.0,1.0
grids/huge.txt,PARALLEL,3500,500,1,5,40.2,0.4472135954999579,313.236,3186.764,0.6915422885572139,0.6915422885572139
grids/huge.txt,PARALLEL,3500,500,2,5,32.2,0.4472135954999579,313.236,3186.764,0.8633540372670807,0.43167701863354035
grids/huge.txt,PARALLEL,3500,500,4,5,32.6,2.073644135332772,313.236,3186.764,0.852760736196319,0.21319018404907975
grids/huge.txt,PARALLEL,3500,500,8,5,47.8,1.3038404810405297,313.236,3186.764,0.5815899581589958,0.07269874476987448
grids/huge.txt,PARALLEL,3500,500,10,5,52.4,0.5477225575051661,313.236,3186.764,0.5305343511450382,0.05305343511450382
grids/huge.txt,PARALLEL,3500,500,16,5,68.2,1.0954451150103321,313.236,3186.764,0.407624633431085,0.025476539589442813
grids/huge.txt,SEQUENTIAL,4000,500,1,5,25.2,0.4472135954999579,161.98,3838.0199999999995,1.0,1.0
grids/huge.txt,PARALLEL,4000,500,1,5,36.4,0.8944271909999159,161.98,3838.0199999999995,0.6923076923076923,0.6923076923076923
grids/huge.txt,PARALLEL,4000,500,2,5,29.4,1.341640786499874,161.98,3838.0199999999995,0.8571428571428572,0.4285714285714286
grids/huge.txt,PARALLEL,4000,500,4,5,31.0,0.0,161.98,3838.0199999999995,0.8129032258064516,0.2032258064516129
grids/huge.txt,PARALLEL,4000,500,8,5,47.2,0.4472135954999579,161.98,3838.0199999999995,0.5338983050847457,0.06673728813559321
grids/huge.txt,PARALLEL,4000,500,10,5,52.6,0.5477225575051661,161.98,3838.0199999999995,0.4790874524714829,0.04790874524714829
grids/huge.txt,PARALLEL,4000,500,16,5,66.2,0.4472135954999579,161.98,3838.0199999999995,0.3806646525679758,0.02379154078549849
grids/huge.txt,SEQUENTIAL,500,1000,1,5,19.0,0.0,225.387,274.613,1.0,1.0
grids/huge.txt,PARALLEL,500,1000,1,5,25.8,0.4472135954999579,225.387,274.613,0.7364341085271318,0.7364341085271318
grids/huge.txt,PARALLEL,500,1000,2,5,32.0,0.0,225.387,274.613,0.59375,0.296875
grids/huge.txt,PARALLEL,500,1000,4,5,44.4,2.073644135332772,225.387,274.613,0.42792792792792794,0.10698198198198199
grids/huge.txt,PARALLEL,500,1000,8,5,77.6,0.5477225575051661,225.387,274.613,0.2448453608247423,0.030605670103092786
grids/huge.txt,PARALLEL,500,1000,10,5,85.4,1.6733200530681511,225.387,274.613,0.2224824355971897,0.02224824355971897
grids/huge.txt,PARALLEL,500,1000,16,5,120.0,2.345207879911715,225.387,274.613,0.15833333333333333,0.009895833333333333
grids/huge.txt,SEQUENTIAL,1000,1000,1,5,30.2,0.4472135954999579,321.838,678.162,1.0,1.0
grids/huge.txt,PARALLEL,1000,1000,1,5,40.8,0.8366600265340756,321.838,678.162,0.7401960784313726,0.7401960784313726
grids/huge.txt,PARALLEL,1000,1000,2,5,50.2,18.498648599289623,321.838,678.162,0.6015936254980079,0.30079681274900394
